ITEM_ID,TITLE,GENRES
1800247298,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1800022746,Jumanji (1995),Adventure|Children|Fantasy
1800250021,Grumpier Old Men (1995),Comedy|Romance
1800249828,Waiting to Exhale (1995),Comedy|Drama|Romance
1800249488,Father of the Bride Part II (1995),Comedy
1800250043,Heat (1995),Action|Crime|Thriller
1800250557,Sabrina (1995),Comedy|Romance
1800248072,Tom and Huck (1995),Adventure|Children
1800251063,Sudden Death (1995),Action
1800249529,GoldenEye (1995),Action|Adventure|Thriller
1800373145,"American President, The (1995)",Comedy|Drama|Romance
1800252242,Dracula: Dead and Loving It (1995),Comedy|Horror
1800020455,Balto (1995),Adventure|Animation|Children
1800252071,Nixon (1995),Drama
1800247315,Cutthroat Island (1995),Action|Adventure|Romance
1800249512,Casino (1995),Crime|Drama
1800252204,Sense and Sensibility (1995),Drama|Romance
1800252065,Four Rooms (1995),Comedy
1800245686,Ace Ventura: When Nature Calls (1995),Comedy
1800248377,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
1800249953,Get Shorty (1995),Comedy|Crime|Thriller
1800245177,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
1800245379,Assassins (1995),Action|Crime|Thriller
1800247873,Powder (1995),Drama|Sci-Fi
1800249977,Leaving Las Vegas (1995),Drama|Romance
1800254325,Othello (1995),Drama
1800246889,Now and Then (1995),Children|Drama
1800246848,Persuasion (1995),Drama|Romance
1800024450,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
1800242776,Dangerous Minds (1995),Drama
1800020413,Babe (1995),Children|Drama
1800249202,Carrington (1995),Drama|Romance
1800252048,Dead Man Walking (1995),Crime|Drama
1800247877,It Takes Two (1995),Children|Comedy
1800240281,Clueless (1995),Comedy|Romance
1800252057,"Cry, the Beloved Country (1995)",Drama
1800249990,Richard III (1995),Drama|War
1800247627,Dead Presidents (1995),Action|Crime|Drama
1800253365,Restoration (1995),Drama
1800372697,Mortal Kombat (1995),Action|Adventure|Fantasy
1800026404,To Die For (1995),Comedy|Drama|Thriller
1800248052,How to Make an American Quilt (1995),Drama|Romance
1800245829,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
1800240415,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
1800246460,When Night Is Falling (1995),Drama|Romance
1800243088,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1800212819,Guardian Angel (1994),Action|Drama|Thriller
1800249503,Mighty Aphrodite (1995),Comedy|Drama|Romance
1800242421,"Big Green, The (1995)",Children|Comedy
1800252067,Georgia (1995),Drama
1800257135,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy
1800245859,Home for the Holidays (1995),Drama
1800245697,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
1800025623,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
1800252230,Eye for an Eye (1996),Drama|Thriller
1800252092,Mr. Holland's Opus (1995),Drama
1800250038,Two if by Sea (1996),Comedy|Romance
1800250001,Bio-Dome (1996),Comedy
1800250467,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
1800252053,Two Bits (1995),Drama
1800021911,French Twist (Gazon maudit) (1995),Comedy|Romance
1800235955,Friday (1995),Comedy
1800253370,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
1800245294,Fair Game (1995),Action
1800251524,Bed of Roses (1996),Drama|Romance
1800254720,Big Bully (1996),Comedy|Drama
1800249494,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
1800252497,"Juror, The (1996)",Drama|Thriller
1800253360,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
1800256972,Antonia's Line (Antonia) (1995),Comedy|Drama
1800252423,Angels and Insects (1995),Drama|Romance
1800253349,White Squall (1996),Action|Adventure|Drama
1800253724,Black Sheep (1996),Comedy
1800249089,Nick of Time (1995),Action|Thriller
1800249667,The Journey of August King (1995),Drama
1800256928,Mary Reilly (1996),Drama|Horror|Thriller
1800246292,Vampire in Brooklyn (1995),Comedy|Horror|Romance
1800256750,Beautiful Girls (1996),Comedy|Drama|Romance
1800253043,Broken Arrow (1996),Action|Adventure|Thriller
1800253778,"Hate (Haine, La) (1995)",Crime|Drama
1800254546,City Hall (1996),Drama|Thriller
1800257799,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
1800253345,Mr. Wrong (1996),Comedy
1800253818,Unforgettable (1996),Mystery|Sci-Fi|Thriller
1800253182,Happy Gilmore (1996),Comedy
1800247909,"Bridges of Madison County, The (1995)",Drama|Romance
1800255263,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
1800244920,Braveheart (1995),Action|Drama|War
1800125435,Taxi Driver (1976),Crime|Drama|Thriller
1800254890,Before and After (1996),Drama|Mystery
1800260232,"Young Poisoner's Handbook, The (1995)",Crime|Drama
1800257789,If Lucy Fell (1996),Comedy|Romance
1800258464,Race the Sun (1996),Adventure|Comedy|Drama
1800341704,Boomerang (1992),Comedy|Romance
1800264787,Flirting With Disaster (1996),Comedy
1800260823,Pie in the Sky (1996),Comedy|Romance
1800243172,Angela (1995),Drama
1800248973,Frankie Starlight (1995),Drama|Romance
1800243915,Jade (1995),Thriller
1800254203,Down Periscope (1996),Comedy
1800259103,Man of the Year (1995),Documentary
1808403564,Up Close and Personal (1996),Drama|Romance
1800255845,"Birdcage, The (1996)",Comedy
1800245461,"Brothers McMullen, The (1995)",Comedy
1800238578,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
1800242286,"Amazing Panda Adventure, The (1995)",Adventure|Children
1800234414,"Basketball Diaries, The (1995)",Drama
1800241304,"Awfully Big Adventure, An (1995)",Drama
1800020307,Apollo 13 (1995),Adventure|Drama|IMAX
1800342143,Rob Roy (1995),Action|Drama|Romance|War
1800250488,"Addiction, The (1995)",Drama|Horror
1800238182,Batman Forever (1995),Action|Adventure|Comedy|Crime
