USER_ID,ITEM_ID,TRANSACTION_VALUE
3,1800019301,5
3,1800352350,4
3,1800019822,5
3,1800019201,5
3,1800019257,5
3,1800353555,5
3,1800194750,5
3,1800024381,5
3,1800018623,5
3,1800018548,5
3,1800025331,5
3,1800024386,5
3,1800071965,5
3,1800350348,5
3,1800417054,4
3,1800359873,5
3,1800025595,4
3,1800350475,5
3,1800219674,5
3,1800019665,5
3,1800018933,3
3,1800135383,5
6,1800019594,5
6,1800353550,5
6,1800256345,4
6,1800215641,5
6,1800080795,5
6,1800080788,5
6,1800359873,4
6,1800024141,5
6,1800021618,5
6,1800024300,5
6,1800334348,5
6,1800022345,5
6,1800026398,3
6,1800068037,1
6,1800249529,5
6,1800020102,5
6,1800021799,5
6,1800019654,4
6,1800024255,5
6,1800285442,5
6,1800026423,5
6,1800247298,5
7,1800107656,5
7,1800269171,5
7,1800161524,5
7,1800051573,5
7,1800235955,5
7,1800233344,5
7,1800057997,4
7,1800022229,4
7,1800194018,5
9,1800353817,5
9,1800022581,5
9,1800020307,5
9,1800379216,4
9,1800261950,2
9,1800019665,5
9,1800080788,5
9,1800025778,4
9,1800024141,4
14,1800043163,5
14,1800360158,5
14,1800018639,5
14,1800023578,5
14,1800025623,5
14,1800341693,5
18,1800018964,5
18,1800341693,5
18,1800198010,5
18,1800353749,2
20,1800068492,5
20,1800341930,1
20,1800353518,5
20,1800021136,5
21,1800025557,5
21,1800279640,5
21,1800114635,5
21,1800120902,5
21,1800306085,5
21,1800118146,5
22,1800353817,5
22,1800294557,5
22,1800192965,5
22,1800353813,2
22,1800108021,5
22,1800362899,5
22,1800025486,5
22,1800086535,4
22,1800026398,3
22,1800019304,5
22,1800019512,3
22,1800026205,3
22,1800354935,3
22,1800340649,5
22,1802821120,5
22,1800020296,2
25,1800177930,5
25,1800047330,5
25,1800068037,5
25,1800216534,5
25,1800072405,5
25,1800126187,5
25,1800060404,5
27,1800096530,4
27,1800228066,5
27,1800018676,5
27,1800020374,5
30,1800424135,5
30,1800024464,5
30,1800019512,5
30,1800024401,5
30,1800018639,5
30,1800019822,5
30,1800025913,5
30,1800019257,5
30,1800024381,5
30,1800360158,5
30,1800353571,4
30,1800020489,5
30,1800019048,4
30,1800353480,5
30,1800020897,1
30,1800023347,4
30,1800025331,4
30,1800018889,4
30,1800024386,5
30,1800350348,5
30,1800367007,4
30,1800350977,5
30,1808434256,5
30,1800361191,5
30,1800420528,5
30,1800201304,5
30,1800254903,5
30,1800018964,5
30,1800022026,5
30,1800350842,5
30,1800353545,5
30,1800023997,4
30,1800020789,5
35,1800111258,5
35,1800197968,5
35,1802834401,5
35,1800102627,5
35,1800058326,4
35,1800174173,4
35,1800120902,5
35,1802956884,5
35,1800022106,5
35,1800164872,4
35,1800350475,5
35,1800134432,5
35,1800121659,5
35,1800048705,5
35,1800135311,5
35,1802821765,4
35,1800128325,5
35,1800019594,5
35,1800026758,5
35,1800089507,4
46,1800025838,5
46,1800019506,5
46,1800020333,5
46,1800025551,5
46,1800026398,5
46,1800022581,5
46,1800019304,5
46,1800230976,5
46,1800018623,5
55,1800021539,5
55,1800172505,5
55,1800192947,5
55,1800025816,5
55,1800353559,5
56,1800243791,4
56,1808405886,4
56,1800019191,4
56,1800249488,5
56,1800232239,5
56,1802832670,5
59,1800107656,5
59,1800209234,4
59,1800076081,5
59,1800212880,5
59,1800023235,1
59,1800018727,5
59,1800174173,5
59,1800023875,5
59,1800023777,5
59,1800139450,5
59,1800030906,5
59,1800353483,5
59,1800019191,3
59,1800182038,3
59,1800248377,5
59,1800019187,5
59,1800018710,5
59,1800175532,4
59,1800264356,5
59,1800019594,5
